Beruf,ocr,OhdAB_v,O_1,Normbezeichnungen,OhdAB,OhdAB_01,OhdAB_02,OhdAB_03,OhdAB_04,OhdAB_05,OhdAB_ind,Provenienz,V3,V4,V5
Briefträger,,B 51322-111,B,Briefträger/in,51322,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe für Post- und Zustelldienste,Berufe für Post- und Zustelldienste - fachlich ausgerichtete Tätigkeiten,111,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Drechsler,,B 93332-117,B,Holzdrechsler/in,93332,"Sprach-, Literatur-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst, Kultur und Gestaltung","Produktdesign und kunsthandwerkliche Berufe, bildende Kunst, Musikinstrumentenbau",Kunsthandwerk und bildende Kunst,Berufe in der Drechslerei und Spielzeugherstellung,Berufe in der Drechslerei und Spielzeugherstellung - fachlich ausgerichtete Tätigkeiten,117,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Einkassierer,,B 62112-103,B,Kassierer/in,62112,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf ohne Produktspezialisierung,Kassierer/innen und Kartenverkäufer/innen,Kassierer/innen und Kartenverkäufer/innen - fachlich ausgerichtete Tätigkeiten,103,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Fahraufseher,,B 51522-526,B,Bahnaufseher/in,51522,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,Überwachung und Steuerung des Verkehrsbetriebs,Berufe in der Überwachung und Steuerung des Eisenbahnverkehrsbetriebs,Berufe in der Überwachung und Steuerung des Eisenbahnverkehrsbetriebs - fachlich ausgerichtete Tätigkeiten,526,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Flaschner,,B 34202-126,B,Flaschner/in,34202,"Bau, Architektur, Vermessung und Gebäudetechnik",Gebäude- und versorgungstechnische Berufe,"Klempnerei, Sanitär-, Heizungs- und Klimatechnik",Berufe in der Klempnerei ohne Spezialisierung,Berufe in der Klempnerei (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,126,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Flaschner,,B 34202-126,B,Flaschner/in,34202,"Bau, Architektur, Vermessung und Gebäudetechnik",Gebäude- und versorgungstechnische Berufe,"Klempnerei, Sanitär-, Heizungs- und Klimatechnik",Berufe in der Klempnerei ohne Spezialisierung,Berufe in der Klempnerei (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,126,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Frz.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gärlner,,B 12102-104,B,Gärtner/in,12102,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,Berufe im Gartenbau ohne Spezialisierung,Berufe im Gartenbau (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,104,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gärtn.,,B 12102-104,B,Gärtner/in,12102,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,Berufe im Gartenbau ohne Spezialisierung,Berufe im Gartenbau (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,104,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gärtncrswe.,,B 12102-104,B,Gärtner/in,12102,"Land-, Forst- und Tierwirtschaft und Gartenbau",Gartenbauberufe und Floristik,Gartenbau,Berufe im Gartenbau ohne Spezialisierung,Berufe im Gartenbau (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,104,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
