Beruf,ocr,OhdAB_v,O_1,Normbezeichnungen,OhdAB,OhdAB_01,OhdAB_02,OhdAB_03,OhdAB_04,OhdAB_05,OhdAB_ind,Provenienz,V3,V4,V5
Packcrswe.,,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packcrswitwe,,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packer,,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packer im Fahrdienst,,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packer u Expedient,,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packer u. Ausgeh,,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packer u. Ausgeher,,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packer u. Hausmeister,,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packer u. Wirt (z. Exerzier-platz),,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packer und Ausgeher,,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packer und Ausgeker,,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Päckereigeschaftsinhaber,,B 51394-525,B,,51394,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag","Aufsichts- und Führungskräfte - Lagerwirtschaft, Post und Zustellung, Güterumschlag","Führungskräfte - Lagerwirtschaft, Post und Zustellung, Güterumschlag",525,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packergeh.,,B 51311-105,B,Packerhelfer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,105,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packerswe,,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packerswe.,,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packerswitwe,,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packm.,,B 51393-514,B,Packmeister/in,51393,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag","Aufsichts- und Führungskräfte - Lagerwirtschaft, Post und Zustellung, Güterumschlag","Aufsichtskräfte - Lagerwirtschaft, Post und Zustellung, Güterumschlag",514,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packmcister,,B 51393-514,B,Packmeister/in,51393,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag","Aufsichts- und Führungskräfte - Lagerwirtschaft, Post und Zustellung, Güterumschlag","Aufsichtskräfte - Lagerwirtschaft, Post und Zustellung, Güterumschlag",514,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packmeistcr,,B 51393-514,B,Packmeister/in,51393,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag","Aufsichts- und Führungskräfte - Lagerwirtschaft, Post und Zustellung, Güterumschlag","Aufsichtskräfte - Lagerwirtschaft, Post und Zustellung, Güterumschlag",514,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packmeister,,B 51393-514,B,Packmeister/in,51393,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag","Aufsichts- und Führungskräfte - Lagerwirtschaft, Post und Zustellung, Güterumschlag","Aufsichtskräfte - Lagerwirtschaft, Post und Zustellung, Güterumschlag",514,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Packmslr.,,B 51393-514,B,Packmeister/in,51393,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag","Aufsichts- und Führungskräfte - Lagerwirtschaft, Post und Zustellung, Güterumschlag","Aufsichtskräfte - Lagerwirtschaft, Post und Zustellung, Güterumschlag",514,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pahnarb.,,B 51311-117,B,Bahnarbeiter/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,117,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pahnarbtr.,,B 51311-117,B,Bahnarbeiter/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,117,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pahnexpeditorswittve,,B 51632-502,B,Bahnexpeditor/in,51632,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,Kaufleute - Verkehr und Logistik,Straßen- und Schienenverkehrskaufleute,Straßen- und Schienenverkehrskaufleute - fachlich ausgerichtete Tätigkeiten,502,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Paketbotenwe.,,B 51322-121,B,Paketbote/-botin,51322,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe für Post- und Zustelldienste,Berufe für Post- und Zustelldienste - fachlich ausgerichtete Tätigkeiten,121,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Palier,,B 32122-505,B,Palier/erin (Bau),32122,"Bau, Architektur, Vermessung und Gebäudetechnik",Hoch- und Tiefbauberufe,Hochbau,Berufe im Maurerhandwerk,Berufe im Maurerhandwerk - fachlich ausgerichtete Tätigkeiten,505,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Palierswe.,,B 32122-505,B,Palier/erin (Bau),32122,"Bau, Architektur, Vermessung und Gebäudetechnik",Hoch- und Tiefbauberufe,Hochbau,Berufe im Maurerhandwerk,Berufe im Maurerhandwerk - fachlich ausgerichtete Tätigkeiten,505,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Panaintsarb,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pank.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pankraz,,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pantoffelfabrikant,,B 28332-528,B,Pantoffelfabrikant/in - Arbeiter/in,28332,"Rohstoffgewinnung, Produktion und Fertigung",Textil- und Lederberufe,"Leder-, Pelzherstellung und -verarbeitung",Berufe in der Schuhherstellung,Berufe in der Schuhherstellung - fachlich ausgerichtete Tätigkeiten,528,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Papier- u. Schreibmaterialien-händlerswe.,,B 62232-500,B,Papierhändler/in,62232,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,"Verkauf von Bekleidung, Elektronik, Kraftfahrzeugen und Hartwaren","Berufe im Verkauf von Bürobedarf, Geschenk- und Spielwaren","Berufe im Verkauf von Bürobedarf, Geschenk- und Spielwaren - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Papier- u. Schreibwarengesch.Jnhab.,,B 62294-543,B,,62294,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,"Verkauf von Bekleidung, Elektronik, Kraftfahrzeugen und Hartwaren",Führungskräfte im Verkauf (spezifische Tätigkeitsbereiche),62294,543,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Papier- u. Schreibwarenhandlcr,,B 62232-500,B,Papierhändler/in,62232,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,"Verkauf von Bekleidung, Elektronik, Kraftfahrzeugen und Hartwaren","Berufe im Verkauf von Bürobedarf, Geschenk- und Spielwaren","Berufe im Verkauf von Bürobedarf, Geschenk- und Spielwaren - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Papier- u. Schreibwarenhdlg.,,B 62232-500,B,Papierhändler/in,62232,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,"Verkauf von Bekleidung, Elektronik, Kraftfahrzeugen und Hartwaren","Berufe im Verkauf von Bürobedarf, Geschenk- und Spielwaren","Berufe im Verkauf von Bürobedarf, Geschenk- und Spielwaren - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Papier- und KontorUtens.-Hdlg.,,B 62232-500,B,Papierhändler/in,62232,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,"Verkauf von Bekleidung, Elektronik, Kraftfahrzeugen und Hartwaren","Berufe im Verkauf von Bürobedarf, Geschenk- und Spielwaren","Berufe im Verkauf von Bürobedarf, Geschenk- und Spielwaren - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Papier-u.Schreib-mathdlg.,,B 62232-500,B,Papierhändler/in,62232,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,"Verkauf von Bekleidung, Elektronik, Kraftfahrzeugen und Hartwaren","Berufe im Verkauf von Bürobedarf, Geschenk- und Spielwaren","Berufe im Verkauf von Bürobedarf, Geschenk- und Spielwaren - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Papierblumenmacheriu,,B 23122-150,B,Papierblumenmacher/in,23122,"Rohstoffgewinnung, Produktion und Fertigung","Papier- und Druckberufe, technische Mediengestaltung",Papier- und Verpackungstechnik,Berufe in der Papierverarbeitung und Verpackungstechnik,Berufe in der Papierverarbeitung und Verpackungstechnik - fachlich ausgerichtete Tätigkeiten,150,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Papierfabrikvertreter,,B 61123-528,B,,61123,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Einkaufs-, Vertriebs- und Handelsberufe",Einkauf und Vertrieb,Berufe im Vertrieb außer Informations- und Kommunikationstechnologien,Berufe im Vertrieb (außer Informations- und Kommunikationstechnologien) - komplexe Spezialistentätigkeiten,528,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Papierfärbcr,,B 23112-160,B,Papierfärber/in,23112,"Rohstoffgewinnung, Produktion und Fertigung","Papier- und Druckberufe, technische Mediengestaltung",Papier- und Verpackungstechnik,Berufe in der Papierherstellung,Berufe in der Papierherstellung - fachlich ausgerichtete Tätigkeiten,160,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Papierhandlung e n?rcÂ»8,,B 62232-500,B,Papierhändler/in,62232,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,"Verkauf von Bekleidung, Elektronik, Kraftfahrzeugen und Hartwaren","Berufe im Verkauf von Bürobedarf, Geschenk- und Spielwaren","Berufe im Verkauf von Bürobedarf, Geschenk- und Spielwaren - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Papparbeiterin,,B 23101-130,B,Pappenarbeiter/in,23101,"Rohstoffgewinnung, Produktion und Fertigung","Papier- und Druckberufe, technische Mediengestaltung",Papier- und Verpackungstechnik,Berufe in der Papier- und Verpackungstechnik ohne Spezialisierung,Berufe in der Papier- und Verpackungstechnik (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten,130,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pappgalanteriewarenverfert.,,B 23122-508,B,,23122,"Rohstoffgewinnung, Produktion und Fertigung","Papier- und Druckberufe, technische Mediengestaltung",Papier- und Verpackungstechnik,Berufe in der Papierverarbeitung und Verpackungstechnik,Berufe in der Papierverarbeitung und Verpackungstechnik - fachlich ausgerichtete Tätigkeiten,508,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
PappspielÂ»varcugeschäftsinhabei,,B 23194-505,B,,23194,"Rohstoffgewinnung, Produktion und Fertigung","Papier- und Druckberufe, technische Mediengestaltung",Papier- und Verpackungstechnik,Aufsichtskräfte - Papier- und Verpackungstechnik,Führungskräfte - Papier- und Verpackungstechnik,505,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pappwarcnfabrikant,,B 23122-509,B,,23122,"Rohstoffgewinnung, Produktion und Fertigung","Papier- und Druckberufe, technische Mediengestaltung",Papier- und Verpackungstechnik,Berufe in der Papierverarbeitung und Verpackungstechnik,Berufe in der Papierverarbeitung und Verpackungstechnik - fachlich ausgerichtete Tätigkeiten,509,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Parkeltbodenleger,,B 33132-108,B,Parkettbodenleger/in,33132,"Bau, Architektur, Vermessung und Gebäudetechnik",Innen-Ausbauberufe,Bodenverlegung,Berufe in der Parkettverlegung,Berufe in der Parkettverlegung - fachlich ausgerichtete Tätigkeiten,108,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Parker,,B 51311-202,B,Packer/in,51311,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe in der Lagerwirtschaft,Berufe in der Lagerwirtschaft - Helfer-/Anlerntätigkeiten,202,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Parket tbodcnfabri kant,,B 22322-506,B,Parkettfabrikant/in - Arbeiter/in,22322,"Rohstoffgewinnung, Produktion und Fertigung","Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Holzbe- und -verarbeitung,Berufe in der Produktion von Holzwerkstoffen und -bauteilen,Berufe in der Produktion von Holzwerkstoffen und -bauteilen - fachlich ausgerichtete Tätigkeiten,506,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Parkettbodenfabrikant,,B 22322-506,B,Parkettfabrikant/in - Arbeiter/in,22322,"Rohstoffgewinnung, Produktion und Fertigung","Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Holzbe- und -verarbeitung,Berufe in der Produktion von Holzwerkstoffen und -bauteilen,Berufe in der Produktion von Holzwerkstoffen und -bauteilen - fachlich ausgerichtete Tätigkeiten,506,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Parkettbodenleger,,B 33132-108,B,Parkettbodenleger/in,33132,"Bau, Architektur, Vermessung und Gebäudetechnik",Innen-Ausbauberufe,Bodenverlegung,Berufe in der Parkettverlegung,Berufe in der Parkettverlegung - fachlich ausgerichtete Tätigkeiten,108,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Parkettgeschäftsillh.,,B 22394-536,B,,22394,"Rohstoffgewinnung, Produktion und Fertigung","Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Holzbe- und -verarbeitung,Aufsichts- und Führungskräfte - Holzbe- und -verarbeitung,Führungskräfte - Holzbe- und -verarbeitung,536,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Parkettschreinersfrau,,B 22322-516,B,,22322,"Rohstoffgewinnung, Produktion und Fertigung","Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Holzbe- und -verarbeitung,Berufe in der Produktion von Holzwerkstoffen und -bauteilen,Berufe in der Produktion von Holzwerkstoffen und -bauteilen - fachlich ausgerichtete Tätigkeiten,516,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Parkettschreinerswe.,,B 22322-516,B,,22322,"Rohstoffgewinnung, Produktion und Fertigung","Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Holzbe- und -verarbeitung,Berufe in der Produktion von Holzwerkstoffen und -bauteilen,Berufe in der Produktion von Holzwerkstoffen und -bauteilen - fachlich ausgerichtete Tätigkeiten,516,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Parteisekretär,,B 71224-108,B,Parteisekretär/in,71224,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Angehörige gesetzgebender Körperschaften und leitende Bedienstete von Interessenorganisationen,Leitende Bedienstete von Interessenorganisationen,Leitende Bedienstete von Interessenorganisationen - hoch komplexe Tätigkeiten,108,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Partieführer,,B 27302-500,B,Partieführer/in,27302,"Rohstoffgewinnung, Produktion und Fertigung","Technische Forschungs-, Entwicklungs-, Konstruktions- und Produktionssteuerungsberufe",Technische Produktionsplanung und -steuerung,Berufe in der technischen Produktionsplanung und -steuerung,Berufe in der technischen Produktionsplanung und -steuerung - fachlich ausgerichtete Tätigkeiten,500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pastassistent,,B 51322-505,B,Postassistent/in,51322,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe für Post- und Zustelldienste,Berufe für Post- und Zustelldienste - fachlich ausgerichtete Tätigkeiten,505,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pastellkreidefabrikant,,B 21212-521,B,Kreidefabrikant/in,21212,"Rohstoffgewinnung, Produktion und Fertigung","Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Naturstein- und Mineralaufbereitung und -verarbeitung und Baustoffherstellung,Berufe in der Naturstein- und Mineralaufbereitung,Berufe in der Naturstein- und Mineralaufbereitung - fachlich ausgerichtete Tätigkeiten,521,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pastellkreidegeschäftsteilhaber,,B 62294-544,B,,62294,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,"Verkauf von Bekleidung, Elektronik, Kraftfahrzeugen und Hartwaren",Führungskräfte im Verkauf (spezifische Tätigkeitsbereiche),62294,544,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pastellstift,,B 21201-517,B,,21201,"Rohstoffgewinnung, Produktion und Fertigung","Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Naturstein- und Mineralaufbereitung und -verarbeitung und Baustoffherstellung,Berufe in der Naturstein- und Mineralaufbereitung und -verarbeitung und Baustoffherstellung ohne Spezialisierung,Berufe in der Naturstein- und Mineralaufbereitung und -verarbeitung und Baustoffherstellung (ohne Spezialisierung) - Hel,517,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pastellstiftarb.,,B 21201-517,B,,21201,"Rohstoffgewinnung, Produktion und Fertigung","Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Naturstein- und Mineralaufbereitung und -verarbeitung und Baustoffherstellung,Berufe in der Naturstein- und Mineralaufbereitung und -verarbeitung und Baustoffherstellung ohne Spezialisierung,Berufe in der Naturstein- und Mineralaufbereitung und -verarbeitung und Baustoffherstellung (ohne Spezialisierung) - Hel,517,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pastellstiftfabrikantenwe.,,B 21212-544,B,,21212,"Rohstoffgewinnung, Produktion und Fertigung","Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Naturstein- und Mineralaufbereitung und -verarbeitung und Baustoffherstellung,Berufe in der Naturstein- und Mineralaufbereitung,Berufe in der Naturstein- und Mineralaufbereitung - fachlich ausgerichtete Tätigkeiten,544,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pastellstiftverfertigerswe.,,B 21212-545,B,,21212,"Rohstoffgewinnung, Produktion und Fertigung","Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Naturstein- und Mineralaufbereitung und -verarbeitung und Baustoffherstellung,Berufe in der Naturstein- und Mineralaufbereitung,Berufe in der Naturstein- und Mineralaufbereitung - fachlich ausgerichtete Tätigkeiten,545,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Pastkondukteur,,B 51394-506,B,Postkonduktor/in - Pächter/in,51394,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag","Aufsichts- und Führungskräfte - Lagerwirtschaft, Post und Zustellung, Güterumschlag","Führungskräfte - Lagerwirtschaft, Post und Zustellung, Güterumschlag",506,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
